Season,Winner Country,Winner Club,Score,Runner-up Club,Runner-up Country,Venue,Team Logo,,,Key
1999–2000,Spain,Real Madrid,3–0,Valencia,Spain,"Stade de France, Saint-Denis, France",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2000–01,Germany,Bayern Munich,1–1*,Valencia,Spain,"San Siro, Milan, Italy",https://drive.google.com/file/d/1_fGNT6Kxm_0lYFVEAaihFwuHqbT7dHyY/view?usp=sharing,,,
2001–02,Spain,Real Madrid,2–1,Bayer Leverkusen,Germany,"Hampden Park, Glasgow, Scotland",https://drive.google.com/file/d/16wO1wDeCUjgHnSCW6Ko7RW4yJpG3A3ic/view?usp=sharing,,,
2002–03,Italy,Milan,0–0*,Juventus,Italy,"Old Trafford, Manchester, England",https://drive.google.com/file/d/1b0LI2XIN_mtZEnamyPbM-uwDUcQzSbnJ/view?usp=sharing,,,
2003–04,Portugal,Porto,3–0,Monaco,France,"Arena AufSchalke, Gelsenkirchen, Germany",https://drive.google.com/file/d/15qyg_GE3eQYJuZw3ALFTI_ZlUn6Y1YcP/view?usp=sharing,,,
2004–05,England,Liverpool,3–3*,Milan,Italy,"Atatürk Olympic Stadium, Istanbul, Turkey",https://drive.google.com/file/d/126BcStq_HujHayarTHzGJojSA8cHJ9VG/view?usp=sharing,,,
2005–06,Spain,Barcelona,2–1,Arsenal,England,"Stade de France, Saint-Denis, France",https://drive.google.com/file/d/1zFRQbu_3VxDVUOB8ho57VdgYJg8Yzr9l/view?usp=sharing,,,
2006–07,Italy,Milan,2–1,Liverpool,England,"Olympic Stadium, Athens, Greece",https://drive.google.com/file/d/1b0LI2XIN_mtZEnamyPbM-uwDUcQzSbnJ/view?usp=sharing,,,
2007–08,England,Manchester United,1–1*,Chelsea,England,"Luzhniki Stadium, Moscow, Russia",https://drive.google.com/file/d/1VzpKnwMvRNWaNxxkHJwSLJT0nVcHFEyR/view?usp=sharing,,,
2008–09,Spain,Barcelona,2–0,Manchester United,England,"Stadio Olimpico, Rome, Italy",https://drive.google.com/file/d/1zFRQbu_3VxDVUOB8ho57VdgYJg8Yzr9l/view?usp=sharing,,,
2009–10,Italy,Inter Milan,2–0,Bayern Munich,Germany,"Santiago Bernabéu, Madrid, Spain",https://drive.google.com/file/d/1ZLbLeL3F_0IwktoalJU4JeY6mowd8arB/view?usp=sharing,,,
2010–11,Spain,Barcelona,3–1,Manchester United,England,"Wembley Stadium, London, England",https://drive.google.com/file/d/1zFRQbu_3VxDVUOB8ho57VdgYJg8Yzr9l/view?usp=sharing,,,
