Team,Season,Jersey Type,Design,Color,Brand,Sponsor,League,Nation,Rating,Worn By Player,Image 1,Image 2,Tournament won,Standing,Team Logo,,,,,
Royal Challengers Banglore,2021,Special,Green/Gold,Green,PUMA,Muthoot Fincorp,IPL,India,4.9/5,"Virat Kohli, Glenn Maxwell, Harshal Patel",https://drive.google.com/file/d/1o0jLtONbAEMXVYuZSjxz8AnHex0i5Kd8/view?usp=sharing,,NO,4,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2020,Special,Green/Gold,Green,Wrogn,Muthoot Fincorp,IPL,India,4.7/5,"Virat Kohli, AB de Villiers, Devdutt Padikkal",https://drive.google.com/file/d/1-RYlP6Xj4sNPWAnctGr7nWISIz1oqzUV/view?usp=sharing,,NO,4,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2019,Special,Green/Gold,Green,Zeven,Wrogn,IPL,India,4.3/5,"Virat Kohli, AB de Villiers, Yuzvendra Chahal",https://drive.google.com/file/d/1z622kkeI_Ij_oWNjX8SayPNZqKcYvAWF/view?usp=sharing,,NO,8,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2018,Special,Green/Gold,Green,Zeven,Eros Now,IPL,India,4.3/5,"Virat Kohli, AB de Villiers, Umesh Yadav",https://drive.google.com/file/d/1VBFPhOzITbSMheN2bBjds8S0gXxpvsJ4/view?usp=sharing,,NO,6,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2017,Special,Green/Gold,Green,Zeven,Gionee,IPL,India,4.3/5,"Virat Kohli, AB de Villiers, Yuzvendra Chahal",https://drive.google.com/file/d/1w6am8H_nimKRATjt0fHW5vKueymDloUJ/view?usp=sharing,,NO,8,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2016,Special,Green/Gold,Green,Zeven,Hero Cycles,IPL,India,4.3/5,"Virat Kohli, AB de Villiers, KL Rahul",https://drive.google.com/file/d/1TN9L6icO5ciBH8WM5Ed2RakRepJkX7RO/view?usp=sharing,,NO,2,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2015,Special,Green/Gold,Green,Adidas,Huawei,IPL,India,4.7/5,"Virat Kohli, AB de Villiers, Mandeep Singh",https://drive.google.com/file/d/17dX8sldx3Nv4hgYYQqRYILffJGNnsdWC/view?usp=sharing,,NO,3,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2014,Special,Green/Gold,Green,Reebok,Huawei,IPL,India,4.7/5,"Virat Kohli, AB de Villiers, Yuzvendra Chahal",https://drive.google.com/file/d/1BfOTVN2oiGNPl70hMv5U4uyj6-n9v5KD/view?usp=sharing,https://drive.google.com/file/d/1cfu6XFeKio6bT9bAb6_RXZNe_8yxwWoH/view?usp=sharing,NO,7,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2013,Special,Green/Gold,Green,Reebok,Mc Dowell's No.1,IPL,India,4.7/5,"Virat Kohli, Chris Gayle, AB de Villiers",https://drive.google.com/file/d/13b6MD7MuVZ2zoImDfEW1lIowcNeYB4-_/view?usp=sharing,https://drive.google.com/file/d/1rfM-IQscv4lgAg-h0a9QXyLtmy3dOCfP/view?usp=sharing,NO,5,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
Royal Challengers Banglore,2012,Special,Green/Gold,Green,Reebok,Mc Dowell's No.1,IPL,India,4.7/5,"Virat Kohli, Chris Gayle, AB de Villiers",https://drive.google.com/file/d/1T6BzTyIaYOaCdctD8KfNBFImf7OELy0D/view?usp=sharing,https://drive.google.com/file/d/1arilbEOSR4KneF-B5ANA0uCuPvbiohAD/view?usp=sharing,NO,5,https://drive.google.com/file/d/1Qhrl-FfC-zi962J8hpeMi-4wRMeqs3J_/view?usp=sharing,,,,,
